,ID,Drug,Sex,Age_months,Wt,time,tvolume,sites
9,k403,Ramicane,Male,21,16,45,22.05012627,1
19,s185,Capomulin,Female,3,17,45,23.34359787,1
29,x401,Capomulin,Female,16,15,45,28.48403281,0
39,m601,Capomulin,Male,22,17,45,28.43096411,1
49,g791,Ramicane,Male,11,16,45,29.12847181,1
59,s508,Ramicane,Male,1,17,45,30.27623175,0
74,m546,Ramicane,Male,18,16,45,30.56462509,1
84,z578,Ramicane,Male,11,16,45,30.63869575,0
94,j913,Ramicane,Female,4,17,45,31.56046955,1
104,u364,Capomulin,Male,18,17,45,31.02392294,3
114,n364,Ramicane,Male,4,17,45,31.09533505,1
124,y793,Capomulin,Male,17,17,45,31.8962384,2
134,r554,Capomulin,Female,8,17,45,32.37735684,3
144,m957,Capomulin,Female,3,19,45,33.32909778,1
154,c758,Ramicane,Male,9,17,45,33.39765251,1
164,t565,Capomulin,Female,20,17,45,34.45529799,0
174,a644,Ramicane,Female,7,17,45,32.97852192,1
184,i177,Ramicane,Male,10,18,45,33.56240217,3
194,j989,Ramicane,Male,8,19,45,36.13485243,1
204,i738,Capomulin,Female,23,20,45,37.31184577,2
214,a520,Ramicane,Male,13,21,45,38.81036633,1
224,w914,Capomulin,Male,24,21,45,36.04104736,2
234,r811,Ramicane,Male,9,19,45,37.22565033,1
244,g288,Capomulin,Male,3,19,45,37.07402422,1
254,i334,Ramicane,Female,8,20,45,36.37451039,2
272,d251,Ramicane,Female,8,19,45,37.31123552,2
282,l897,Capomulin,Male,17,19,45,38.84687569,1
299,b742,Capomulin,Male,7,21,45,38.93963263,0
309,b128,Capomulin,Female,9,22,45,38.98287774,2
327,a411,Ramicane,Male,3,22,45,38.4076183,1
337,j119,Capomulin,Female,7,23,45,38.1251644,1
350,v923,Capomulin,Female,19,21,45,40.65812366,2
360,g316,Capomulin,Female,22,22,45,40.1592203,2
370,s710,Capomulin,Female,1,23,45,40.72857787,1
380,l509,Capomulin,Male,17,21,45,41.48300765,3
390,r944,Capomulin,Male,12,25,45,41.58152074,2
400,e662,Ramicane,Male,8,24,45,40.65900627,2
410,u196,Ramicane,Male,18,25,45,40.66771292,3
420,q597,Ramicane,Male,20,25,45,45.22086888,2
430,a444,Ramicane,Female,10,25,45,43.0475426,0
440,i557,Capomulin,Female,1,24,45,47.68596303,1
463,a203,Infubinol,Female,20,23,45,67.97341878,2
473,a251,Infubinol,Female,21,25,45,65.52574285,1
483,a262,Placebo,Female,17,29,45,70.71762058,4
493,a275,Ceftamin,Female,20,28,45,62.99935619,3
510,a401,Zoniferol,Female,8,25,45,66.79415599,4
523,a492,Stelasyn,Male,20,25,45,60.12201052,1
540,a685,Infubinol,Male,8,30,45,66.08306589,3
550,a699,Propriva,Female,5,28,45,62.19141437,1
567,a818,Naftisol,Female,12,28,45,74.99776443,2
577,a897,Placebo,Male,7,28,45,72.25596306,4
587,a963,Stelasyn,Female,23,27,45,62.76509317,1
610,b559,Naftisol,Male,20,26,45,73.05136339,1
627,b879,Stelasyn,Female,4,26,45,72.55523894,2
637,c139,Infubinol,Male,11,28,45,72.2267309,2
647,c264,Zoniferol,Female,11,27,45,67.94212107,2
657,c282,Placebo,Male,12,27,45,65.81516535,2
667,c302,Zoniferol,Female,10,29,45,64.57522157,4
679,c402,Stelasyn,Female,1,27,45,74.04039018,3
689,c559,Zoniferol,Female,19,28,45,61.84005842,4
706,c757,Placebo,Male,9,27,45,69.04284082,3
716,c766,Placebo,Female,13,26,45,69.82314577,4
735,c832,Ketapril,Male,18,29,45,65.41595451,3
774,e213,Naftisol,Male,8,27,45,63.1056963,4
784,e227,Placebo,Male,1,30,45,73.21293851,3
800,e476,Infubinol,Male,23,26,45,62.43540402,1
810,e584,Naftisol,Male,9,27,45,68.3597767,4
834,f345,Infubinol,Male,23,26,45,60.91876652,1
850,f545,Zoniferol,Female,20,26,45,73.32443228,1
874,g296,Zoniferol,Female,14,29,45,68.16319517,4
884,g497,Ketapril,Male,19,28,45,69.87225079,2
903,g570,Propriva,Male,16,29,45,70.49278763,2
930,h246,Ketapril,Male,13,30,45,74.10408567,2
962,i635,Propriva,Male,21,26,45,58.63340414,3
978,i901,Stelasyn,Male,23,29,45,65.34181087,0
993,j296,Ceftamin,Female,24,30,45,61.84902336,3
1003,j365,Zoniferol,Male,24,28,45,64.29408493,2
1013,j755,Naftisol,Male,23,27,45,69.56362076,1
1023,j984,Stelasyn,Female,2,30,45,70.65383162,1
1033,k210,Ceftamin,Male,15,28,45,68.92318457,3
1043,k382,Ketapril,Male,22,29,45,73.715619,4
1053,k483,Infubinol,Female,20,30,45,66.19691151,3
1086,k862,Stelasyn,Female,13,25,45,69.29914907,4
1096,k894,Zoniferol,Female,13,29,45,60.75270417,4
1112,l471,Ceftamin,Female,7,28,45,67.74866174,1
1132,l661,Ceftamin,Male,18,26,45,59.85195552,3
1142,l700,Naftisol,Female,18,27,45,63.94664044,1
1152,l725,Naftisol,Female,8,26,45,76.66881742,3
1162,l733,Ceftamin,Female,4,30,45,64.29983003,1
1179,m269,Stelasyn,Female,22,28,45,75.12368955,1
1193,m550,Ketapril,Male,18,28,45,69.25350312,4
1203,m650,Ketapril,Male,15,27,45,73.90139912,4
1215,n304,Naftisol,Male,9,26,45,63.58639514,4
1260,o287,Ceftamin,Male,2,28,45,59.74190064,4
1277,o331,Ketapril,Male,24,30,45,78.56701362,4
1290,o562,Propriva,Female,4,25,45,72.45542116,2
1304,o795,Placebo,Female,20,26,45,73.05945435,4
1325,o926,Zoniferol,Male,15,29,45,62.32796606,4
1344,p136,Zoniferol,Female,5,28,45,63.48869678,2
1354,p189,Ketapril,Male,8,28,45,75.2949359,4
1379,p438,Ceftamin,Female,11,26,45,61.43389223,1
1416,q511,Zoniferol,Female,2,28,45,68.61106075,3
1434,q633,Zoniferol,Male,12,25,45,70.82779631,2
1444,q787,Placebo,Male,17,27,45,66.09647477,3
1465,r604,Naftisol,Male,7,30,45,62.67075904,3
1475,r701,Naftisol,Male,21,25,45,69.77854407,1
1518,s337,Zoniferol,Male,14,27,45,62.10965102,4
1528,s565,Stelasyn,Female,3,29,45,72.58896447,2
1540,t198,Propriva,Male,22,26,45,64.91136268,4
1550,t451,Stelasyn,Male,8,29,45,68.7116302,1
1561,t718,Placebo,Female,10,30,45,63.42369517,4
1571,t724,Naftisol,Female,2,25,45,75.11328801,2
1593,u327,Ketapril,Male,17,25,45,66.26880133,2
1658,v991,Propriva,Female,10,30,45,70.16774899,4
1670,w151,Ceftamin,Male,24,25,45,67.52748237,3
1693,w350,Propriva,Male,7,26,45,64.95756185,2
1703,w422,Ketapril,Female,18,26,45,67.98953001,4
1719,w575,Zoniferol,Female,16,28,45,68.40128593,3
1763,x402,Stelasyn,Male,21,28,45,61.61960615,3
1773,x581,Ceftamin,Female,19,28,45,64.63494887,3
1787,x773,Placebo,Female,21,30,45,58.63497149,4
1797,x822,Ceftamin,Male,3,29,45,61.38666032,3
1813,y163,Infubinol,Female,17,27,45,67.68556862,3
1823,y260,Ketapril,Female,7,25,45,62.90944062,4
1833,y478,Placebo,Female,3,25,45,66.84263453,1
1845,y769,Ceftamin,Female,6,27,45,68.59474498,4
1855,y865,Ceftamin,Male,23,26,45,64.72983655,3
1872,z581,Infubinol,Female,24,25,45,62.75445141,3
1882,z795,Naftisol,Female,13,29,45,65.74107029,3
1892,z969,Naftisol,Male,9,30,45,73.86784476,4
8,k403,Ramicane,Male,21,16,40,24.36550471,1
18,s185,Capomulin,Female,3,17,40,25.47214326,1
28,x401,Capomulin,Female,16,15,40,28.16739732,0
38,m601,Capomulin,Male,22,17,40,31.3780453,1
48,g791,Ramicane,Male,11,16,40,31.36940573,1
58,s508,Ramicane,Male,1,17,40,32.79817119,0
73,m546,Ramicane,Male,18,16,40,35.1145752,1
83,z578,Ramicane,Male,11,16,40,34.02209336,0
93,j913,Ramicane,Female,4,17,40,31.00186078,1
103,u364,Capomulin,Male,18,17,40,36.02413752,2
113,n364,Ramicane,Male,4,17,40,34.95473311,1
123,y793,Capomulin,Male,17,17,40,31.47541076,2
133,r554,Capomulin,Female,8,17,40,31.80484133,3
143,m957,Capomulin,Female,3,19,40,32.94761484,1
153,c758,Ramicane,Male,9,17,40,32.83318858,1
163,t565,Capomulin,Female,20,17,40,33.94934131,0
173,a644,Ramicane,Female,7,17,40,35.77945086,0
183,i177,Ramicane,Male,10,18,40,35.55793279,2
193,j989,Ramicane,Male,8,19,40,35.50119014,1
203,i738,Capomulin,Female,23,20,40,36.84389799,2
213,a520,Ramicane,Male,13,21,40,38.25972497,1
223,w914,Capomulin,Male,24,21,40,35.61130861,2
233,r811,Ramicane,Male,9,19,40,36.5200329,1
243,g288,Capomulin,Male,3,19,40,36.35685121,1
